x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,percent_change
0,11.47699781,0.761510474,9.940207454,13.01378816,1,density,rr,PC1,..
0.5,11.25023054,0.779422907,9.677291433,12.82316965,1,density,rr,PC1,..
1,11.02346327,0.85813059,9.291685631,12.75524092,1,density,rr,PC1,..
1.5,10.79669601,0.983139017,8.812641146,12.78075087,1,density,rr,PC1,..
2,10.56992874,1.139307999,8.270712114,12.86914537,1,density,rr,PC1,..
2.5,10.34316147,1.315587048,7.688199323,12.99812362,1,density,rr,PC1,..
3,10.11639421,1.504925919,7.079330746,13.15345767,1,density,rr,PC1,..
3.5,9.88962694,1.702974144,6.45288598,13.3263679,1,density,rr,PC1,..
4,9.662859673,1.907020195,5.814337111,13.51138223,1,density,rr,PC1,..
4.5,9.436092406,2.11532912,5.167185414,13.7049994,1,density,rr,PC1,..
-4,0.297812812,0.022006103,0.25424226,0.341383364,1,composition_bcdist,all,PC1,12.61758514
-3.5,0.300317931,0.020298883,0.260127556,0.340508306,1,composition_bcdist,all,PC1,..
-3,0.30282305,0.018699263,0.265799812,0.339846289,1,composition_bcdist,all,PC1,..
-2.5,0.305328169,0.017237224,0.271199665,0.339456673,1,composition_bcdist,all,PC1,..
-2,0.307833288,0.015950645,0.276252122,0.339414454,1,composition_bcdist,all,PC1,..
-1.5,0.310338407,0.014885091,0.280866964,0.339809851,1,composition_bcdist,all,PC1,..
-1,0.312843526,0.014090794,0.284944734,0.340742318,1,composition_bcdist,all,PC1,..
-0.5,0.315348645,0.013615313,0.288391274,0.342306016,1,composition_bcdist,all,PC1,..
0,0.317853764,0.013492394,0.291139764,0.344567765,1,composition_bcdist,all,PC1,..
0.5,0.320358883,0.013731509,0.293171452,0.347546315,1,composition_bcdist,all,PC1,..
1,0.322864002,0.014314527,0.294522236,0.351205769,1,composition_bcdist,all,PC1,..
1.5,0.325369121,0.015201931,0.295270356,0.355467887,1,composition_bcdist,all,PC1,..
2,0.32787424,0.016344217,0.295513827,0.360234653,1,composition_bcdist,all,PC1,..
2.5,0.330379359,0.017692085,0.295350263,0.365408456,1,composition_bcdist,all,PC1,..
3,0.332884478,0.019202291,0.294865278,0.370903678,1,composition_bcdist,all,PC1,..
3.5,0.335389597,0.020839573,0.294128693,0.376650501,1,composition_bcdist,all,PC1,..
-4,0.284440255,0.023654938,0.237605125,0.331275385,1,composition_bcdist,rf,PC1,1.971010524
-3.5,0.284814011,0.022174751,0.240909548,0.328718475,1,composition_bcdist,rf,PC1,..
-3,0.285187768,0.020810109,0.243985201,0.326390335,1,composition_bcdist,rf,PC1,..
-2.5,0.285561524,0.019585179,0.246784234,0.324338815,1,composition_bcdist,rf,PC1,..
-2,0.285935281,0.018527692,0.249251739,0.322618822,1,composition_bcdist,rf,PC1,..
-1.5,0.286309037,0.017667742,0.251328138,0.321289937,1,composition_bcdist,rf,PC1,..
-1,0.286682794,0.017035268,0.252954148,0.32041144,1,composition_bcdist,rf,PC1,..
-0.5,0.28705655,0.016656206,0.254078422,0.320034679,1,composition_bcdist,rf,PC1,..
0,0.287430307,0.016547978,0.254666462,0.320194152,1,composition_bcdist,rf,PC1,..
0.5,0.287804063,0.016715846,0.254707851,0.320900275,1,composition_bcdist,rf,PC1,..
1,0.28817782,0.017151705,0.254218637,0.322137003,1,composition_bcdist,rf,PC1,..
1.5,0.288551576,0.01783592,0.253237696,0.323865457,1,composition_bcdist,rf,PC1,..
2,0.288925333,0.018741308,0.251818846,0.326031819,1,composition_bcdist,rf,PC1,..
2.5,0.289299089,0.019837611,0.250022001,0.328576178,1,composition_bcdist,rf,PC1,..
3,0.289672846,0.021095082,0.247906051,0.331439641,1,composition_bcdist,rf,PC1,..
3.5,0.290046602,0.022486702,0.245524497,0.334568707,1,composition_bcdist,rf,PC1,..
-4,0.280549095,0.081068853,0.120038407,0.441059782,1,composition_bcdist,oc,PC1,118.9550344
-3.5,0.302797579,0.075461862,0.153388344,0.452206815,1,composition_bcdist,oc,PC1,..
-3,0.325046064,0.070255805,0.18594446,0.464147668,1,composition_bcdist,oc,PC1,..
-2.5,0.347294549,0.065546284,0.217517469,0.477071629,1,composition_bcdist,oc,PC1,..
-2,0.369543034,0.061447574,0.247881115,0.491204953,1,composition_bcdist,oc,PC1,..
-1.5,0.391791519,0.058089113,0.276779118,0.506803919,1,composition_bcdist,oc,PC1,..
-1,0.414040003,0.055605193,0.30394559,0.524134416,1,composition_bcdist,oc,PC1,..
-0.5,0.436288488,0.054116373,0.329141837,0.54343514,1,composition_bcdist,oc,PC1,..
0,0.458536973,0.053705473,0.352203875,0.564870071,1,composition_bcdist,oc,PC1,..
0.5,0.480785458,0.054396926,0.37308333,0.588487585,1,composition_bcdist,oc,PC1,..
1,0.503033943,0.056150023,0.391860805,0.61420708,1,composition_bcdist,oc,PC1,..
1.5,0.525282427,0.058869995,0.408723934,0.641840921,1,composition_bcdist,oc,PC1,..
2,0.547530912,0.062430597,0.423922676,0.671139149,1,composition_bcdist,oc,PC1,..
2.5,0.569779397,0.066697333,0.43772332,0.701835474,1,composition_bcdist,oc,PC1,..
3,0.592027882,0.071543978,0.450375785,0.733679979,1,composition_bcdist,oc,PC1,..
3.5,0.614276367,0.076860907,0.462097119,0.766455614,1,composition_bcdist,oc,PC1,..
-4,0.240681718,0.025780575,0.189637973,0.291725463,1,composition_bcdist,rr,PC1,-5.338439529
-3.5,0.239825142,0.023724567,0.19285215,0.286798133,1,composition_bcdist,rr,PC1,..
-3,0.238968565,0.021793629,0.195818697,0.282118433,1,composition_bcdist,rr,PC1,..
-2.5,0.238111989,0.020023974,0.198465913,0.277758064,1,composition_bcdist,rr,PC1,..
-2,0.237255412,0.018462042,0.200701854,0.27380897,1,composition_bcdist,rr,PC1,..
-1.5,0.236398835,0.017164632,0.202414059,0.270383612,1,composition_bcdist,rr,PC1,..
-1,0.235542259,0.016195441,0.203476413,0.267608105,1,composition_bcdist,rr,PC1,..
-0.5,0.234685682,0.015615703,0.203767677,0.265603688,1,composition_bcdist,rr,PC1,..
0,0.233829106,0.015469266,0.203201036,0.264457176,1,composition_bcdist,rr,PC1,..
0.5,0.232972529,0.015768207,0.201752577,0.264192482,1,composition_bcdist,rr,PC1,..
1,0.232115953,0.016488318,0.19947023,0.264761676,1,composition_bcdist,rr,PC1,..
1.5,0.231259376,0.017577915,0.196456329,0.266062424,1,composition_bcdist,rr,PC1,..
2,0.2304028,0.018973446,0.192836697,0.267968903,1,composition_bcdist,rr,PC1,..
2.5,0.229546223,0.020612869,0.188734176,0.27035827,1,composition_bcdist,rr,PC1,..
3,0.228689647,0.022442799,0.184254466,0.273124828,1,composition_bcdist,rr,PC1,..
3.5,0.22783307,0.024420447,0.179482284,0.276183856,1,composition_bcdist,rr,PC1,..
-3.5,23.36486712,0.930166137,21.49748068,25.23225356,1,rarefied_richness,all,PC2,0.075528841
-3,23.3660436,0.807113652,21.74569533,24.98639187,1,rarefied_richness,all,PC2,..
-2.5,23.36722008,0.688247732,21.9855051,24.74893506,1,rarefied_richness,all,PC2,..
-2,23.36839656,0.576165362,22.21169633,24.52509679,1,rarefied_richness,all,PC2,..
