"","Var1","Var2","bcdist","Fragment","timediff","dat_subset","resp","dPC1","dPC2","dPC3","dPC4","Area_m2","Perimeter_m","Shape_fractalD"
"78",2000,2005,0.330579943561222,"Pannimade",5,"oc","composition",-1.92532633953886,-1.01415205223362,1.0942654343118,-1.59835464948442,921300,7447.913,1.09649722230686
"79",2000,2019,0.515235887083599,"Pannimade",19,"oc","composition",-1.76622502714391,0.575586387394611,-0.143552693519736,0.617252767013808,921300,7447.913,1.09649722230686
"80",2005,2019,0.405250714372611,"Pannimade",14,"oc","composition",0.159101312394954,1.58973843962823,-1.23781812783154,2.21560741649823,921300,7447.913,1.09649722230686
"81",2000,2005,0.475408684397834,"Puduthottam",5,"oc","composition",-0.928923809699407,1.78800342968089,0.755827201955262,0.250934125344481,1130800,6052.1937,1.0506030618116
"82",2000,2019,0.460392893509666,"Puduthottam",19,"oc","composition",-0.701527512281893,5.15666356127337,-1.46222210558325,-0.17802364783599,1130800,6052.1937,1.0506030618116
"83",2005,2019,0.428486484934722,"Puduthottam",14,"oc","composition",0.227396297417514,3.36866013159248,-2.21804930753852,-0.428957773180471,1130800,6052.1937,1.0506030618116
"84",2000,2019,0.375152103749143,"Selaliparai1",19,"oc","composition",-1.73171156684704,0.826526341013504,-0.950401236475166,-2.42575288227145,22200,936.4225,1.09029886105024
"85",2000,2019,0.48580978960785,"Selaliparai2",19,"oc","composition",1.4502821969993,0.161162952433869,-1.58186140468619,1.38363299442955,6700,359.7341,1.02137136200681
"86",2000,2019,1,"Varagaliar",19,"oc","composition",-1.13744396041573,4.19936385774775,1.93750295761465,0.357918808094953,14110900,43267.566,1.12849055214815
"87",2000,2005,0.308041498745261,"Varatuparai123",5,"oc","composition",-0.146870147927688,0.805910800862136,0.8423357886654,0.635872387575631,125200,2744.1716,1.11281735148559
"88",2000,2019,0.542665954634986,"Varatuparai123",19,"oc","composition",-1.01431290054961,2.1464390717073,1.37080578164157,1.52407588777635,125200,2744.1716,1.11281735148559
"89",2005,2019,0.469942903898919,"Varatuparai123",14,"oc","composition",-0.867442752621924,1.34052827084517,0.528469992976168,0.888203500200719,125200,2744.1716,1.11281735148559
